Date,Price,Trend,Action,Volatility,Allocation,ATR_Params,RunTime
2025-12-10,92020.9453125,0.0,HOLD CASH,0.448,1.0,10/3.0,2025-12-11 17:33:19
2025-12-11,92511.3359375,0.0,HOLD CASH,0.4379,1.0,10/3.0,2025-12-12 12:11:52
2025-12-12,90270.4140625,0.0,HOLD CASH,0.4532,1.0,10/3.0,2025-12-14 01:06:14
2025-12-13,90298.7109375,0.0,HOLD CASH,0.4424,1.0,10/3.0,2025-12-15 01:04:03
2025-12-14,88175.1796875,0.0,HOLD CASH,0.4503,1.0,10/3.0,2025-12-16 01:02:16
2025-12-15,86419.78125,0.0,HOLD CASH,0.4563,1.0,10/3.0,2025-12-17 00:57:54
2025-12-16,87843.984375,0.0,HOLD CASH,0.4329,1.0,10/3.0,2025-12-18 00:58:41
2025-12-17,86143.7578125,0.0,HOLD CASH,0.4372,1.0,10/3.0,2025-12-19 01:01:44
2025-12-18,85462.5078125,0.0,HOLD CASH,0.4378,1.0,10/3.0,2025-12-20 00:58:24
2025-12-19,88103.3828125,0.0,HOLD CASH,0.461,1.0,10/3.0,2025-12-21 01:05:53
2025-12-20,88344.0,0.0,HOLD CASH,0.4609,1.0,10/3.0,2025-12-22 01:04:35
2025-12-21,88621.75,0.0,HOLD CASH,0.416,1.0,10/3.0,2025-12-23 01:01:59
2025-12-22,88490.015625,0.0,HOLD CASH,0.3286,1.0,10/3.0,2025-12-24 01:01:02
2025-12-23,87414.0,0.0,HOLD CASH,0.3109,1.0,10/3.0,2025-12-25 01:01:22
2025-12-24,87611.9609375,0.0,HOLD CASH,0.3072,1.0,10/3.0,2025-12-26 01:01:49
2025-12-25,87234.7421875,0.0,HOLD CASH,0.2816,1.0,10/3.0,2025-12-27 01:00:27
2025-12-26,87301.4296875,0.0,HOLD CASH,0.2817,1.0,10/3.0,2025-12-28 01:09:20
2025-12-27,87802.15625,0.0,HOLD CASH,0.2768,1.0,10/3.0,2025-12-29 01:07:18
2025-12-28,87835.8359375,0.0,HOLD CASH,0.2763,1.0,10/3.0,2025-12-30 01:02:13
2025-12-29,87138.140625,0.0,HOLD CASH,0.2551,1.0,10/3.0,2025-12-31 01:03:33
2025-12-30,88430.1328125,0.0,HOLD CASH,0.2653,1.0,10/3.0,2026-01-01 01:09:36
2025-12-31,87508.828125,0.0,HOLD CASH,0.2656,1.0,10/3.0,2026-01-02 01:03:14
2026-01-01,88731.984375,0.0,HOLD CASH,0.256,1.0,10/3.0,2026-01-03 00:59:31
2026-01-02,89944.6953125,0.0,HOLD CASH,0.2634,1.0,10/3.0,2026-01-04 01:10:02
2026-01-03,90603.1875,0.0,HOLD CASH,0.2429,1.0,10/3.0,2026-01-05 01:08:52
2026-01-04,91413.4921875,0.0,HOLD CASH,0.2248,1.0,10/3.0,2026-01-06 01:03:18
2026-01-05,93882.5546875,0.0,HOLD CASH,0.2409,1.0,10/3.0,2026-01-07 01:03:50
2026-01-06,93729.03125,0.0,HOLD CASH,0.2197,1.0,10/3.0,2026-01-08 01:03:13
2026-01-07,91308.0546875,0.0,HOLD CASH,0.2501,1.0,10/3.0,2026-01-09 01:03:44
2026-01-08,91027.125,0.0,HOLD CASH,0.2184,1.0,10/3.0,2026-01-10 01:01:21
2026-01-09,90513.1015625,0.0,HOLD CASH,0.2206,1.0,10/3.0,2026-01-11 01:09:33
2026-01-10,90386.6484375,0.0,HOLD CASH,0.2207,1.0,10/3.0,2026-01-12 01:06:25
2026-01-11,90827.4609375,0.0,HOLD CASH,0.221,1.0,10/3.0,2026-01-13 00:59:53
2026-01-12,91192.9921875,0.0,HOLD CASH,0.2126,1.0,10/3.0,2026-01-14 01:05:32
2026-01-13,95321.78125,0.0,HOLD CASH,0.2812,1.0,10/3.0,2026-01-15 01:01:33
2026-01-14,96929.328125,0.0,HOLD CASH,0.2833,1.0,10/3.0,2026-01-16 01:03:59
2026-01-15,95551.1875,0.0,HOLD CASH,0.295,1.0,10/3.0,2026-01-17 01:00:59
2026-01-16,95525.1171875,0.0,HOLD CASH,0.2957,1.0,10/3.0,2026-01-18 01:08:34
2026-01-17,95099.921875,0.0,HOLD CASH,0.2976,1.0,10/3.0,2026-01-19 01:07:49
2026-01-18,93634.4296875,0.0,HOLD CASH,0.305,1.0,10/3.0,2026-01-20 01:02:55
2026-01-19,92553.59375,0.0,HOLD CASH,0.3074,1.0,10/3.0,2026-01-21 01:05:02
2026-01-20,88310.90625,0.0,HOLD CASH,0.3672,1.0,10/3.0,2026-01-22 01:04:54
2026-01-21,89376.9609375,0.0,HOLD CASH,0.366,1.0,10/3.0,2026-01-23 01:05:05
2026-01-22,89462.453125,0.0,HOLD CASH,0.3612,1.0,10/3.0,2026-01-24 01:02:00
2026-01-23,89503.875,0.0,HOLD CASH,0.3597,1.0,10/3.0,2026-01-25 01:10:27
